N_test, Img_dims, n, s, O or S, nOMP, nMPI, MPI_loc, MPI_rank, Time(sec), MPI_Scv(sec), MPI_Gav(sec), for_loop(sec), Affinity  
 , ,5000 , 2500, S, 12, 9, ,8 , 0.215547,1.7603e-05 ,6.252e-06 ,4.879e-06, 
 , ,5000 , 2500, S, 12, 9, ,0 , 0.214923,1.077e-05 ,7.284e-06 ,1.054e-05, 
 , ,5000 , 2500, S, 12, 9, ,1 , 0.215446,1.2914e-05 ,6.702e-06 ,9.368e-06, 
 , ,5000 , 2500, S, 12, 9, ,3 , 0.215451,1.4106e-05 ,6.412e-06 ,8.116e-06, 
 , ,5000 , 2500, S, 12, 9, ,5 , 0.215406,1.4367e-05 ,6.442e-06 ,7.804e-06, 
 , ,5000 , 2500, S, 12, 9, ,7 , 0.215358,1.5349e-05 ,6.342e-06 ,7.274e-06, 
2, 100x100, , , , , ,numa, , , , , , cores close
 , ,5000 , 2500, S, 12, 9, ,2 , 0.228368,1.1091e-05 ,6.543e-06 ,9.307e-06, 
 , ,5000 , 2500, S, 12, 9, ,4 , 0.228228,1.1853e-05 ,6.492e-06 ,8.506e-06, 
 , ,5000 , 2500, S, 12, 9, ,6 , 0.227542,1.2203e-05 ,6.362e-06 ,8.346e-06, 
 , ,5000 , 2500, S, 12, 9, ,8 , 0.227445,1.5499e-05 ,6.532e-06 ,4.919e-06, 
 , ,5000 , 2500, S, 12, 9, ,0 , 0.228591,1.0069e-05 ,6.973e-06 ,1.0089e-05, 
 , ,5000 , 2500, S, 12, 9, ,1 , 0.228404,1.1562e-05 ,6.162e-06 ,9.147e-06, 
 , ,5000 , 2500, S, 12, 9, ,3 , 0.228472,1.2634e-05 ,6.532e-06 ,7.694e-06, 
 , ,5000 , 2500, S, 12, 9, ,5 , 0.2285,1.2844e-05 ,6.462e-06 ,7.203e-06, 
 , ,5000 , 2500, S, 12, 9, ,7 , 0.228405,1.3927e-05 ,6.612e-06 ,6.292e-06, 
1, 100x100, , , , , ,numa, , , , , , cores close
 , ,5000 , 2500, S, 12, 12, ,6 , 0.258956,1.3285e-05 ,5.49e-06 ,1.1161e-05, 
 , ,5000 , 2500, S, 12, 12, ,8 , 0.258863,1.2704e-05 ,5.6e-06 ,1.1842e-05, 
 , ,5000 , 2500, S, 12, 12, ,10 , 0.259034,1.3274e-05 ,5.371e-06 ,1.1992e-05, 
 , ,5000 , 2500, S, 12, 12, ,0 , 0.258989,8.365e-06 ,6.322e-06 ,1.6081e-05, 
 , ,5000 , 2500, S, 12, 12, ,2 , 0.258979,1.0119e-05 ,5.77e-06 ,1.4718e-05, 
